Page	Channel	Label	MinValue	MaxValue
0	ArAr(80)	80ArAr	0.00	6500.00
1	Y(89)	CD45	0.00	406.00
2	In(115)	IL6	0.00	3179.00
3	Sn(120)	120Sn	0.00	8380.00
4	I(127)	127I	0.00	117.00
5	Xe(134)	134Xe	0.00	135.00
6	Ba(138)	138Ba	0.00	2562.00
7	Pr(141)	CD14	0.00	794.00
8	Nd(142)	FOXP3	0.00	198.00
9	Nd(143)	CD16	0.00	121.00
10	Nd(144)	CD69	0.00	44.00
11	Nd(145)	CD4	0.00	64.00
12	Nd(146)	CD8	0.00	140.00
13	Sm(147)	Collagen1	0.00	117.00
14	Nd(148)	caspase3	0.00	66.00
15	Sm(149)	CD31	0.00	490.00
16	Nd(150)	E_cadherin	0.00	898.00
17	Eu(151)	B7H4	0.00	2595.00
18	Sm(152)	VISTA	0.00	106.00
19	Eu(153)	CD7	0.00	470.00
20	Sm(154)	CD163	0.00	577.00
21	Gd(155)	CD103	0.00	1219.00
22	Gd(156)	PDL1	0.00	2213.00
23	Gd(158)	LAG3	0.00	65.00
24	Tb(159)	CD68	0.00	5250.00
25	Gd(160)	CD11B	0.00	1068.00
26	Dy(161)	CD20	0.00	17501.00
27	Dy(162)	CD11C	0.00	734.00
28	Dy(163)	CD15	0.00	2433.00
29	Dy(164)	Granzyme_B	0.00	1300.00
30	Ho(165)	PD1	0.00	63.00
31	Er(166)	KI67	0.00	307.00
32	Er(167)	GATA3	0.00	794.00
33	Er(168)	HLADR	0.00	3128.00
34	Tm(169)	CD45RA	0.00	7739.00
35	Er(170)	CD3	0.00	766.00
36	Yb(171)	TNFa	0.00	1493.00
37	Yb(172)	IL1b	0.00	70.00
38	Yb(173)	CD45RO	0.00	2275.00
39	Yb(174)	CD57	0.00	11468.00
40	Lu(175)	CD25	0.00	171.00
41	Yb(176)	PAN-Keratin	0.00	2454.00
42	Ir(191)	DNA1	0.00	1974.00
43	Ir(193)	DNA2	0.00	3643.00
44	Pt(194)	aSMA	0.00	418.00
45	Pt(198)	VIMENTIN	0.00	2120.00
